coin_name,current_price_usd,24h_high_usd,24h_low_usd,24h_trade_volume_usd,market_cap_usd,market_change_percentage_24h,market_rank,circulating_supply,total_supply,last_updated,retrieval_time,rolling_average,predicted_price,ds
Ripple,0.539148,0.551415,0.515148,1389826868,28514102533,4.65119,5,52841868447,99988501123,8/20/2023 15:44:31,8/20/2023 15:45:32,,,
Ripple,0.539044,0.551415,0.515148,1387963060,28514102533,4.65119,5,52841868447,99988501123,8/20/2023 15:47:26,8/20/2023 15:47:41,,,
Bitcoin,26076,26248,26024,7793416549,507463419251,0.16166,1,19462981,21000000,8/20/2023 15:47:47,8/20/2023 15:48:04,,,
Ethereum,1670.64,1692.84,1663.28,8960295422,200851644206,0.22465,2,120211597,120211597,8/20/2023 15:48:59,8/20/2023 15:50:12,,,
Ethereum,1670.56,1692.84,1663.28,8913453497,200851644206,0.22465,2,120211597,120211597,8/20/2023 15:50:00,8/20/2023 15:50:41,,,
Litecoin,64.51,65.1,63.64,430180310,4740617665,0.68922,16,73562276.98,84000000,8/20/2023 15:49:59,8/20/2023 15:51:07,,,
Ethereum,1670.2,1692.84,1663.28,8869431374,200806448974,-0.0159,2,120211597,120211597,8/20/2023 15:51:02,8/20/2023 15:52:00,,,
Bitcoin,26064,26248,26024,8106581031,507384136512,0.04181,1,19462981,21000000,8/20/2023 15:51:43,8/20/2023 15:52:54,,,
Ethereum,1670.25,1692.84,1663.28,8890300216,200806448974,-0.0159,2,120211597,120211597,8/20/2023 15:52:04,8/20/2023 15:52:56,,,
Ripple,0.538067,0.551415,0.515148,1373904896,28470221562,4.08275,5,52841868447,99988501123,8/20/2023 15:53:35,8/20/2023 15:53:48,,,
Bitcoin,26060,26248,26024,9209050799,507384136512,0.04181,1,19462981,21000000,8/20/2023 15:53:45,8/20/2023 15:55:00,,,
Litecoin,64.45,65.1,63.64,425574889,4745155264,0.57348,16,73562276.98,84000000,8/20/2023 15:54:07,8/20/2023 15:55:03,,,
Ripple,0.538028,0.551415,0.515148,1371805074,28470221562,4.08275,5,52841868447,99988501123,8/20/2023 15:54:36,8/20/2023 15:55:04,,,
Ethereum,1669.45,1692.84,1663.28,8454256036,200806448974,-0.0159,2,120211597,120211597,8/20/2023 15:54:58,8/20/2023 15:55:56,,,
Bitcoin,26064,26248,26024,8191971389,507384136512,0.04181,1,19462981,21000000,8/20/2023 15:55:49,8/20/2023 15:56:47,,,
Bitcoin,26058,26248,26024,9393828419,507384136512,0.04181,1,19462981,21000000,8/20/2023 15:57:51,8/20/2023 15:58:35,,,
Bitcoin,26067,26248,26024,9353991303,507384136512,0.04181,1,19462981,21000000,8/20/2023 15:58:43,8/20/2023 15:59:01,,,
Ethereum,1669.31,1692.84,1663.28,8448515435,200806448974,-0.0159,2,120211597,120211597,8/20/2023 15:58:03,8/20/2023 15:59:03,,,
Ripple,0.538628,0.551415,0.515148,1368759556,28470221562,4.08275,5,52841868447,99988501123,8/20/2023 15:58:43,8/20/2023 15:59:30,,,
Bitcoin,26067,26248,26024,9353991303,507384136512,0.04181,1,19462981,21000000,8/20/2023 15:58:43,8/20/2023 15:59:52,,,
Ripple,0.538669,0.551415,0.515148,1367908255,28470221562,4.08275,5,52841868447,99988501123,8/20/2023 15:59:44,8/20/2023 15:59:56,,,
Ethereum,1669.64,1692.84,1663.28,8461035019,200806448974,-0.0159,2,120211597,120211597,8/20/2023 15:59:05,8/20/2023 16:00:22,,,
